time,v1,v2,v3,v4,v5,v6,,a1,a2,a3,a4,a5,a6,,q1,q2,q3,q4,q5,q6
0.108,0.234572251,0.01664046,-0.062597531,-0.047835791,-3.70E-06,-1.11E-05,,3.665191429,0.26000719,-0.978086426,-0.747434228,-5.78E-05,-0.00017274,,-1.562428695,-1.570202731,1.568563356,-1.572502719,-1.570796459,-3.94E-07
0.11,0.241902634,0.017160475,-0.064553704,-0.049330659,-3.81E-06,-1.14E-05,,3.665191429,0.26000719,-0.978086426,-0.747434228,-5.78E-05,-0.00017274,,-1.56194489,-1.57016841,1.568434248,-1.572601381,-1.570796467,-4.17E-07
0.112,0.249233017,0.017680489,-0.066509877,-0.050825528,-3.93E-06,-1.17E-05,,3.665191429,0.26000719,-0.978086425,-0.747434228,-5.78E-05,-0.00017274,,-1.561446424,-1.570133049,1.568301229,-1.572703032,-1.570796474,-4.41E-07
0.114,0.2565634,0.018200503,-0.06846605,-0.052320396,-4.05E-06,-1.21E-05,,3.665191429,0.26000719,-0.978086426,-0.747434228,-5.78E-05,-0.00017274,,-1.560933297,-1.570096648,1.568164296,-1.572807673,-1.570796483,-4.65E-07
0.116,0.263893783,0.018720518,-0.070422223,-0.053815264,-4.16E-06,-1.24E-05,,3.665191429,0.26000719,-0.978086426,-0.747434228,-5.78E-05,-0.00017274,,-1.560405509,-1.570059207,1.568023452,-1.572915303,-1.570796491,-4.90E-07
0.118,0.271224166,0.019240532,-0.072378395,-0.055310133,-4.28E-06,-1.28E-05,,3.665191429,0.26000719,-0.978086425,-0.747434228,-5.78E-05,-0.00017274,,-1.559863061,-1.570020726,1.567878695,-1.573025923,-1.570796499,-5.15E-07
0.12,0.278554549,0.019760546,-0.074334568,-0.056805001,-4.39E-06,-1.31E-05,,3.665191429,0.26000719,-0.978086426,-0.747434228,-5.78E-05,-0.00017274,,-1.559305952,-1.569981204,1.567730026,-1.573139533,-1.570796508,-5.42E-07
0.122,0.285884931,0.020280561,-0.076290741,-0.05829987,-4.51E-06,-1.35E-05,,3.665191429,0.26000719,-0.978086426,-0.747434228,-5.78E-05,-0.00017274,,-1.558734182,-1.569940643,1.567577445,-1.573256133,-1.570796517,-5.68E-07
0.124,0.293215314,0.020800575,-0.078246914,-0.059794738,-4.62E-06,-1.38E-05,,3.665191429,0.26000719,-0.978086425,-0.747434228,-5.78E-05,-0.00017274,,-1.558147751,-1.569899042,1.567420951,-1.573375723,-1.570796526,-5.96E-07
0.126,0.300545697,0.02132059,-0.080203087,-0.061289607,-4.74E-06,-1.42E-05,,3.665191429,0.26000719,-0.978086426,-0.747434228,-5.78E-05,-0.00017274,,-1.55754666,-1.569856401,1.567260545,-1.573498302,-1.570796536,-6.24E-07
