time,v1,v2,v3,v4,v5,v6,,a1,a2,a3,a4,a5,a6,,q1,q2,q3,q4,q5,q6,
0.164,0.447153354,0.03543982,-0.133316341,-0.101877701,-7.88E-06,-2.35E-05,,3.665191429,0.29049033,-1.092756891,-0.835063123,-6.46E-05,-0.000192992,,-1.543340378,-1.568620264,1.562610485,-1.577051785,-1.57079681,-1.45E-06,
0.166,0.454483737,0.036020801,-0.135501855,-0.103547827,-8.01E-06,-2.39E-05,,3.665191429,0.29049033,-1.092756891,-0.835063123,-6.46E-05,-0.000192992,,-1.542446071,-1.568549384,1.562343852,-1.57725554,-1.570796826,-1.49E-06,
0.168,0.46181412,0.036601782,-0.137687368,-0.105217953,-8.13E-06,-2.43E-05,,3.665191429,0.29049033,-1.092756891,-0.835063123,-6.46E-05,-0.000192992,,-1.541537104,-1.568477342,1.562072849,-1.577462636,-1.570796842,-1.54E-06,
0.17,0.469144503,0.037182762,-0.139872882,-0.10688808,-8.26E-06,-2.47E-05,,3.665191429,0.29049033,-1.092756891,-0.835063122,-6.46E-05,-0.000192992,,-1.540613475,-1.568404139,1.561797474,-1.577673072,-1.570796858,-1.59E-06,
0.172,0.476474886,0.037763743,-0.142058396,-0.108558206,-8.39E-06,-2.51E-05,,3.665191429,0.29049033,-1.092756892,-0.835063123,-6.46E-05,-0.000192992,,-1.539675186,-1.568329773,1.561517728,-1.577886848,-1.570796875,-1.64E-06,
0.174,0.483805269,0.038344724,-0.14424391,-0.110228332,-8.52E-06,-2.55E-05,,3.665191429,0.29049033,-1.092756891,-0.835063122,-6.46E-05,-0.000192992,,-1.538722237,-1.568254246,1.561233611,-1.578103964,-1.570796892,-1.69E-06,
0.176,0.491135652,0.038925704,-0.146429423,-0.111898458,-8.65E-06,-2.59E-05,,3.665191429,0.29049033,-1.092756891,-0.835063123,-6.46E-05,-0.000192992,,-1.537754626,-1.568177556,1.560945123,-1.578324421,-1.570796909,-1.74E-06,
0.178,0.498466034,0.039506685,-0.148614937,-0.113568585,-8.78E-06,-2.62E-05,,3.665191429,0.29049033,-1.092756891,-0.835063122,-6.46E-05,-0.000192992,,-1.536772355,-1.568099705,1.560652265,-1.578548218,-1.570796926,-1.79E-06,
0.18,0.505796417,0.040087666,-0.150800451,-0.115238711,-8.91E-06,-2.66E-05,,3.665191429,0.29049033,-1.092756892,-0.835063122,-6.46E-05,-0.000192992,,-1.535775423,-1.568020692,1.560355035,-1.578775355,-1.570796944,-1.84E-06,
0.182,0.5131268,0.040668646,-0.152985965,-0.116908837,-9.04E-06,-2.70E-05,,3.665191429,0.29049033,-1.092756891,-0.835063123,-6.46E-05,-0.000192992,,-1.53476383,-1.567940516,1.560053434,-1.579005832,-1.570796962,-1.90E-06,
0.184,0.520457183,0.041249627,-0.155171479,-0.118578963,-9.17E-06,-2.74E-05,,3.665191429,0.29049033,-1.092756892,-0.835063122,-6.46E-05,-0.000192992,,-1.533737576,-1.567859179,1.559747462,-1.57923965,-1.57079698,-1.95E-06,
0.186,0.527787566,0.041830608,-0.157356992,-0.12024909,-9.30E-06,-2.78E-05,,3.665191429,0.29049033,-1.092756891,-0.835063123,-6.46E-05,-0.000192992,,-1.532696662,-1.56777668,1.559437119,-1.579476808,-1.570796998,-2.01E-06,
0.188,0.535117949,0.042411588,-0.159542506,-0.121919216,-9.43E-06,-2.82E-05,,3.665191429,0.29049033,-1.092756892,-0.835063123,-6.46E-05,-0.000192992,,-1.531641087,-1.567693019,1.559122405,-1.579717306,-1.570797017,-2.06E-06,
0.19,0.542448332,0.042992569,-0.16172802,-0.123589342,-9.56E-06,-2.86E-05,,3.665191429,0.29049033,-1.092756891,-0.835063123,-6.46E-05,-0.000192992,,-1.530570851,-1.567608195,1.55880332,-1.579961145,-1.570797035,-2.12E-06,
0.192,0.549778714,0.04357355,-0.163913534,-0.125259468,-9.68E-06,-2.89E-05,,3.665191429,0.29049033,-1.092756892,-0.835063122,-6.46E-05,-0.000192992,,-1.529485954,-1.56752221,1.558479864,-1.580208323,-1.570797054,-2.18E-06,
0.194,0.557109097,0.04415453,-0.166099048,-0.126929595,-9.81E-06,-2.93E-05,,3.665191429,0.29049033,-1.092756891,-0.835063122,-6.46E-05,-0.000192992,,-1.528386397,-1.567435063,1.558152037,-1.580458842,-1.570797074,-2.23E-06,
0.196,0.56443948,0.044735511,-0.168284561,-0.128599721,-9.94E-06,-2.97E-05,,3.665191429,0.29049033,-1.092756892,-0.835063123,-6.46E-05,-0.000192992,,-1.527272179,-1.567346754,1.557819839,-1.580712701,-1.570797093,-2.29E-06,
0.198,0.571769863,0.045316492,-0.170470075,-0.130269847,-1.01E-05,-3.01E-05,,3.665191429,0.29049033,-1.092756891,-0.835063123,-6.46E-05,-0.000192992,,-1.5261433,-1.567257283,1.55748327,-1.580969901,-1.570797113,-2.35E-06,
0.2,0.579100246,0.045897472,-0.172655589,-0.131939973,-1.02E-05,-3.05E-05,,3.665191429,0.29049033,-1.092756891,-0.835063122,-6.46E-05,-0.000192992,,-1.52499976,-1.56716665,1.557142329,-1.581230441,-1.570797134,-2.41E-06,
